ano;id_aluno;id_escola;id_municipio;nome_municipio;sigla_uf;regiao;rede;serie;caderno;peso_aluno;mun_ctx_taxa_alfabetizacao;mun_ctx_media_portugues;mun_ctx_nivel_alfabetizacao;mun_ctx_percentual_participacao;mun_meta_2024;mun_meta_2030;mun_gap_projetado;mun_esforco_anual_requerido;uf_ctx_taxa_alfabetizacao;uf_ctx_media_portugues;uf_ctx_ranking_nacional;uf_meta_2030;escola_n_alunos_avaliados;mun_n_alunos_avaliados;mun_n_escolas;proficiencia;nao_alfabetizado;ibge_populacao;ibge_pib_per_capita;ibge_densidade_demografica;ibge_log_populacao
2024;15091281;60002009;1501402;Belém;PA;Norte;municipal;2;12;1,04;48,22;730,4555;1,0;74,905;53,42;80,0;5,2;4,54;48,38;733,29;17,0;80,0;88;8616;173;761,12;0;1398531,0;28984,74;1315,27;14,1509
2024;23052255;60009476;2303709;Caucaia;CE;Nordeste;municipal;2;7;1,0;67,04;765,3228;3,0;95,655;69,14;80,0;2,1;1,851;84,46;795,68;1,0;80,0;101;3784;85;795,06;0;375730,0;26278,33;265,93;12,8366
2024;35067196;60029450;3502507;Aparecida;SP;Sudeste;municipal;2;14;1,0;43,48;730,4227;1,5;88,68;49,33;80,0;5,85;5,217;51,91;740,39;15,0;80,0;49;321;11;743,4128914;0;33223,0;41227,43;289,12;10,411
2024;43080078;60038438;4305439;Chuí;RS;Sul;estadual;2;21;1,1428571;71,43;758,2482;0,5;82,74000000000001;54,93;80,0;-16,5;1,224;63,43;747,39;6,0;80,0;14;33;2;769,8584031;0;6405,0;81555,04;29,21;8,765
2024;25031141;60011312;2511004;Pedra Branca;PB;Nordeste;municipal;2;4;1,05;95,61;789,3692;4,0;93,095;80,0;80,0;-15,61;-2,23;51,12;741,6;16,0;80,0;40;40;1;793,09;0;3846,0;12637,03;32,95;8,255
2024;15007915;60003599;1500800;Ananindeua;PA;Norte;municipal;2;2;1,18;59,04;743,5709;2,0;82,005;62,51;80,0;3,47;2,994;48,38;733,29;17,0;80,0;80;4114;86;696,51;1;507838,0;22593,62;2477,56;13,1379
2024;35046881;60031640;3509502;Campinas;SP;Sudeste;estadual;2;20;1,0;58,44;751,3349;1,0;86,725;47,76;80,0;-10,68;3,08;51,91;740,39;15,0;80,0;48;8899;141;782,0532164;0;1185977,0;77546,47;1358,63;13,9861
2024;42030045;60034648;4207007;Içara;SC;Sul;municipal;2;10;1,25;69,76;755,3795;3,0;79,84;71,39;80,0;1,63;1,463;61,38;747,11;7,0;80,0;56;663;21;785,47;0;62455,0;78108,62;200,02;11,0422
2024;35214312;60028281;3536505;Paulínia;SP;Sudeste;municipal;2;7;1,04;48,49;735,4701;2,0;90,33;53,65;80,0;5,16;4,501;51,91;740,39;15,0;80,0;119;1040;12;739,818791;1;115690,0;579715,62;591,72;11,6587
2024;33061410;60024320;3303500;Nova Iguaçu;RJ;Sudeste;municipal;2;2;1,5;33,23;719,388;0,0;79,785;40,13;80,0;6,9;6,681;52,13;737,3;14,0;80,0;50;6380;119;762,78;0;843046,0;24338,68;1527,6;13,6448
2024;15060503;60003108;1505536;Parauapebas;PA;Norte;municipal;2;8;1,41;54,32;736,3784;1,5;73,38499999999999;58,58;80,0;4,26;3,669;48,38;733,29;17,0;80,0;99;2854;33;750,44;0;298854,0;88407,94;22,12;12,6077
2024;43004167;60037051;4306601;Dom Pedrito;RS;Sul;municipal;2;7;1,1538462;57,45;738,687;1,5;74,83500000000001;61,19;80,0;3,74;3,221;63,43;747,39;6,0;80,0;13;312;15;731,9421859;1;38094,0;60066,47;7,49;10,5478
2024;31183040;60022156;3142601;Monsenhor Paulo;MG;Sudeste;municipal;2;18;1,09;62,69;753,816;3,5;92,43;65,54;80,0;2,85;2,473;59,81;751,71;8,0;80,0;48;89;3;801,97;0;8550,0;32769,01;37,69;9,0538
2024;17017840;60003895;1706506;Darcinópolis;TO;Norte;municipal;2;9;1,31;31,21;724,6836;0,5;88,375;38,24;80,0;7,03;6,97;43,72;734,29;20,0;80,0;82;82;1;719,78;1;6054,0;41715,06;3,22;8,7086
2024;35124698;60028357;3530706;Mogi Guaçu;SP;Sudeste;municipal;2;15;1,0416667;51,4;738,991;2,5;90,50999999999999;56,12;80,0;4,72;4,086;51,91;740,39;15,0;80,0;67;1351;25;729,717406;1;159735,0;59059,3;168,98;11,9813
2024;35080369;60030791;3511508;Cerquilho;SP;Sudeste;municipal;2;15;1,0434783;60,93;751,9442;3,0;92,00999999999999;64,08;80,0;3,15;2,724;51,91;740,39;15,0;80,0;86;396;7;828,9904186;0;46217,0;62559,84;309,98;10,7411
2024;41056426;60032617;4114609;Marechal Cândido Rondon;PR;Sul;municipal;2;21;1,27;75,3;759,0326;4,0;88,935;76,01;80,0;0,71;0,671;73,12;757,21;2,0;80,0;15;659;17;776,91;0;58140,0;67406,38;62,59;10,9706
2024;23030067;60007995;2303709;Caucaia;CE;Nordeste;municipal;2;11;1,04;67,04;765,3228;3,0;95,655;69,14;80,0;2,1;1,851;84,46;795,68;1,0;80,0;93;3784;85;832,69;0;375730,0;26278,33;265,93;12,8366
2024;26015208;60012189;2605202;Escada;PE;Nordeste;municipal;2;21;1,06;54,51;748,8628;1,0;94,28;58,74;80,0;4,23;3,641;58,95;747,45;9,0;80,0;33;406;14;693,86;1;62252,0;25417,71;183,07;11,039
2024;33138150;60024733;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;19;1,0;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;83;43411;687;783,89;0;6729894,0;62179,64;5265,81;15,7221
2024;41059895;60033445;4105805;Colombo;PR;Sul;municipal;2;20;1,79;64,92;748,6869;3,0;81,62;67,38;80,0;2,46;2,154;73,12;757,21;2,0;80,0;168;3101;43;728,31;1;240720,0;31692,32;1079,08;12,3914
2024;23015762;60008733;2308104;Mauriti;CE;Nordeste;municipal;2;11;1,0;84,73;788,6292;5,0;98,365;80,0;80,0;-4,73;-0,676;84,46;795,68;1,0;80,0;78;532;18;830,06;0;47406,0;14927,79;41,0;10,7665
2024;35149941;60029095;3541406;Presidente Prudente;SP;Sudeste;municipal;2;10;1,2857143;54,07;742,7308;2,5;89,1;58,37;80,0;4,3;3,704;51,91;740,39;15,0;80,0;94;1708;31;703,4597086;1;234083,0;49630,26;368,89;12,3634
2024;31094077;60021646;3169356;Três Marias;MG;Sudeste;municipal;2;19;1,0;68,34;761,5375;4,0;91,25;70,22;80,0;1,88;1,666;59,81;751,71;8,0;80,0;21;283;11;787,86;0;29927,0;86294,35;10,57;10,3065
2024;52061302;60041388;5217609;Planaltina;GO;Centro-Oeste;municipal;2;4;1,11;65,51;749,5247;3,5;90,955;67,87;80,0;2,36;2,07;66,74;752,15;4,0;80,0;27;1543;33;762,1;0;110619,0;17536,81;32,17;11,6139
2024;31127777;60020780;3106200;Belo Horizonte;MG;Sudeste;municipal;2;20;1,0;57,61;748,4681;2,5;84,09;61,33;80,0;3,72;3,199;59,81;751,71;8,0;80,0;72;16012;262;764,97;0;2416339,0;53882,2;7167,02;14,6978
2024;15028853;60003377;1502764;Cumaru do Norte;PA;Norte;municipal;2;21;1,0;50,13;740,7593;1,5;80,08500000000001;55,05;80,0;4,92;4,267;48,38;733,29;17,0;80,0;30;155;5;712,81;1;14937,0;32070,16;0,61;9,6117
2024;32021445;60023096;3201308;Cariacica;ES;Sudeste;municipal;2;1;1,1;57,15;743,5046;2,5;87,045;60,94;80,0;3,79;3,264;67,93;753,72;3,0;80,0;133;4438;67;799,8;0;375485,0;52494,36;1245,6;12,836
2024;33091767;60023368;3300951;Comendador Levy Gasparian;RJ;Sudeste;municipal;2;4;1,22;51,64;733,3021;2,5;90,03999999999999;56,32;80,0;4,68;4,051;52,13;737,3;14,0;80,0;32;100;4;664,25;1;9044,0;70053,3;76,53;9,11
2024;31086295;60018949;3136702;Juiz de Fora;MG;Sudeste;estadual;2;11;1,1;58,62;749,7581;1,0;81,86500000000001;49,46;80,0;-9,16;3,054;59,81;751,71;8,0;80,0;70;3343;94;713,72;1;565764,0;41133,1;359,59;13,2459
2024;41064829;60033888;4113700;Londrina;PR;Sul;municipal;2;3;1,08;73,87;759,754;4,0;84,78;74,82;80,0;0,95;0,876;73,12;757,21;2,0;80,0;47;4774;87;754,36;0;577318,0;48499,33;306,49;13,2662
2024;32006278;60023062;3205002;Serra;ES;Sudeste;municipal;2;11;1,0;59,07;744,0729;2,0;85,22999999999999;62,54;80,0;3,47;2,99;67,93;753,72;3,0;80,0;54;6396;80;798,76;0;572274,0;65788,69;739,38;13,2574
2024;15085702;60002178;1508209;Vigia;PA;Norte;municipal;2;10;1,55;29,77;715,4434;0,0;80,3;36,87;80,0;7,1;7,176;48,38;733,29;17,0;80,0;11;447;21;732,09;1;53806,0;11190,96;88,84;10,8932
2024;25021856;60010750;2504009;Campina Grande;PB;Nordeste;municipal;2;17;1,1;42,4;730,5838;1,0;85,455;48,39;80,0;5,99;5,371;51,12;741,6;16,0;80,0;47;2736;84;825,77;0;440939,0;29275,58;648,31;12,9967
2024;33102035;60024442;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;8;1,11;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;18;43411;687;684,75;1;6729894,0;62179,64;5265,81;15,7221
2024;31146896;60018238;3157807;Santa Luzia;MG;Sudeste;municipal;2;2;1,05;51,5;741,3879;3,0;86,685;56,2;80,0;4,7;4,071;59,81;751,71;8,0;80,0;75;2300;33;758,96;0;229483,0;28795,58;862,38;12,3436
2024;51036336;60040353;5103403;Cuiabá;MT;Centro-Oeste;municipal;2;2;1,29;53,94;744,14;1,5;83,12;58,26;80,0;4,32;3,723;55,03;746,8;11,0;80,0;92;5876;76;680,03;1;682932,0;57181,03;163,88;13,4342
2024;29138555;60017190;2919207;Lauro de Freitas;BA;Nordeste;municipal;2;16;1,0;29,63;717,7195;0,0;81,87;36,74;80,0;7,11;7,196;36,78;724,86;23,0;80,0;31;1280;37;749,51;0;217960,0;40917,97;2833,43;12,2921
2024;21025806;60005655;2104057;Estreito;MA;Nordeste;municipal;2;3;1,16;54,89;747,6384;2,0;89,215;59,05;80,0;4,16;3,587;56,43;749,92;10,0;80,0;62;500;16;723,3;1;34353,0;34797,51;13,18;10,4445
