ano;id_aluno;id_escola;id_municipio;nome_municipio;sigla_uf;regiao;rede;serie;caderno;peso_aluno;mun_ctx_taxa_alfabetizacao;mun_ctx_media_portugues;mun_ctx_nivel_alfabetizacao;mun_ctx_percentual_participacao;mun_meta_2024;mun_meta_2030;mun_gap_projetado;mun_esforco_anual_requerido;uf_ctx_taxa_alfabetizacao;uf_ctx_media_portugues;uf_ctx_ranking_nacional;uf_meta_2030;escola_n_alunos_avaliados;mun_n_alunos_avaliados;mun_n_escolas;proficiencia;nao_alfabetizado;ibge_populacao;ibge_pib_per_capita;ibge_densidade_demografica;ibge_log_populacao
2024;33105936;60024504;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;2;1,14;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;149;43411;687;766,66;0;6729894,0;62179,64;5265,81;15,7221
2024;33107063;60024714;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;19;1,12;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;59;43411;687;822,35;0;6729894,0;62179,64;5265,81;15,7221
2024;33107852;60024541;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;13;1,4;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;42;43411;687;687,73;1;6729894,0;62179,64;5265,81;15,7221
2024;33107971;60024611;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;17;1,11;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;98;43411;687;755,09;0;6729894,0;62179,64;5265,81;15,7221
2024;33108009;60024621;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;8;1,22;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;107;43411;687;773,81;0;6729894,0;62179,64;5265,81;15,7221
2024;33108373;60024943;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;6;1,2;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;98;43411;687;674,17;1;6729894,0;62179,64;5265,81;15,7221
2024;33108575;60024416;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;21;1,29;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;44;43411;687;781,72;0;6729894,0;62179,64;5265,81;15,7221
2024;33109500;60025619;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;14;1,03;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;87;43411;687;748,39;0;6729894,0;62179,64;5265,81;15,7221
2024;33109862;60024405;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;8;1,3;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;45;43411;687;662,05;1;6729894,0;62179,64;5265,81;15,7221
2024;33110521;60024634;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;12;1,33;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;50;43411;687;784,36;0;6729894,0;62179,64;5265,81;15,7221
2024;33111155;60024956;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;19;1,04;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;53;43411;687;676,43;1;6729894,0;62179,64;5265,81;15,7221
2024;33092546;60025374;3306008;Três Rios;RJ;Sudeste;municipal;2;20;1,25;53,49;734,6643;2,0;85,47;57,88;80,0;4,39;3,787;52,13;737,3;14,0;80,0;66;636;19;732,04;1;82300,0;73118,3;237,42;11,3181
2024;33092752;60023389;3306008;Três Rios;RJ;Sudeste;municipal;2;10;1,09;53,49;734,6643;2,0;85,47;57,88;80,0;4,39;3,787;52,13;737,3;14,0;80,0;22;636;19;762,94;0;82300,0;73118,3;237,42;11,3181
2024;33094342;60023789;3306206;Vassouras;RJ;Sudeste;municipal;2;5;1,04;65,42;748,0349;3,0;86,66;67,8;80,0;2,38;2,083;52,13;737,3;14,0;80,0;148;348;10;780,13;0;35904,0;41022,73;63,94;10,4886
2024;33111911;60024966;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;13;1,1;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;85;43411;687;758,77;0;6729894,0;62179,64;5265,81;15,7221
2024;33112024;60024992;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;20;1,25;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;85;43411;687;761,0;0;6729894,0;62179,64;5265,81;15,7221
2024;33112430;60024933;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;2;1,08;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;83;43411;687;786,59;0;6729894,0;62179,64;5265,81;15,7221
2024;33112500;60024680;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;16;1,1;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;59;43411;687;811,44;0;6729894,0;62179,64;5265,81;15,7221
2024;33113043;60024696;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;2;1,23;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;62;43411;687;757,72;0;6729894,0;62179,64;5265,81;15,7221
2024;33113363;60024708;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;17;1,07;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;83;43411;687;733,11;1;6729894,0;62179,64;5265,81;15,7221
2024;33113429;60024704;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;18;1,03;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;57;43411;687;857,33;0;6729894,0;62179,64;5265,81;15,7221
2024;33113892;60024973;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;12;1,32;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;22;43411;687;742,94;1;6729894,0;62179,64;5265,81;15,7221
2024;33114042;60024983;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;11;1,13;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;89;43411;687;772,93;0;6729894,0;62179,64;5265,81;15,7221
2024;33114056;60024975;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;15;1,04;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;52;43411;687;754,4;0;6729894,0;62179,64;5265,81;15,7221
2024;33114859;60024971;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;6;1,23;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;149;43411;687;683,76;1;6729894,0;62179,64;5265,81;15,7221
2024;33115112;60024829;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;13;1,07;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;136;43411;687;761,44;0;6729894,0;62179,64;5265,81;15,7221
2024;33115947;60025387;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;18;1,07;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;165;43411;687;780,84;0;6729894,0;62179,64;5265,81;15,7221
2024;33116155;60024801;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;16;1,22;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;242;43411;687;736,98;1;6729894,0;62179,64;5265,81;15,7221
2024;33116185;60024801;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;14;1,19;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;242;43411;687;776,13;0;6729894,0;62179,64;5265,81;15,7221
2024;33116379;60024695;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;3;1,29;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;21;43411;687;661,91;1;6729894,0;62179,64;5265,81;15,7221
2024;33116381;60024695;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;5;1,29;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;21;43411;687;784,0;0;6729894,0;62179,64;5265,81;15,7221
2024;33117368;60024706;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;3;1,12;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;81;43411;687;734,65;1;6729894,0;62179,64;5265,81;15,7221
2024;33118517;60024633;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;21;1,13;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;46;43411;687;633,6;1;6729894,0;62179,64;5265,81;15,7221
2024;33119648;60024958;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;21;1,26;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;41;43411;687;791,4;0;6729894,0;62179,64;5265,81;15,7221
2024;33119690;60024627;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;12;1,04;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;49;43411;687;781,97;0;6729894,0;62179,64;5265,81;15,7221
