feature,queda_pr_auc,desvio
id_escola,0.07234429290170241,0.0031082709203603125
id_municipio,0.012953259580764164,0.001844768057582804
mun_ctx_media_portugues,0.002653381722922843,0.0009684732929626584
sigla_uf,0.0020549560670670487,0.00023482176017286158
mun_ctx_taxa_alfabetizacao,0.0019543672982579975,0.0008050460477313792
uf_ctx_media_portugues,0.001359397458554179,0.0007385427726977438
escola_n_alunos_avaliados,0.0012714628973706787,0.00020535311986691644
peso_aluno,0.0010700079918603,0.00024160753427377574
ibge_densidade_demografica,0.0008515000388612081,0.00017611441618442723
ibge_pib_per_capita,0.0007691076441986855,0.0003742072820858736
uf_ctx_taxa_alfabetizacao,0.0007673631985928742,0.0002636398869962006
caderno,0.0005536140351067642,0.0002462758542365363
ibge_populacao,0.0003592129774231623,0.000232897868323132
mun_gap_projetado,0.00029743984116699097,0.0002572280519689693
regiao,0.0001606599641643447,0.00021485193060047388
mun_n_escolas,9.849126982408585e-05,0.0001329438240795919
mun_n_alunos_avaliados,6.98011186858194e-05,0.0002850995081652093
ibge_log_populacao,6.668517277508279e-06,7.916310666709826e-06
uf_ctx_ranking_nacional,4.597528361660608e-06,1.7677566598166887e-05
serie,0.0,0.0
rede,-2.0151301979742797e-05,0.0001759508287921997
mun_meta_2024,-0.0001659815682353294,0.0002093964932875104
