id_municipio,nome_municipio,sigla_uf,regiao,rede,ctx_taxa,meta_2024,gap_projetado,taxa_observada,meta_do_ano,nao_atingiu_meta,prob_nao_atingir_meta,faixa_risco,particao,n_alunos_avaliados,ibge_populacao,ibge_pib_per_capita
3162955,São José da Lapa,MG,Sudeste,municipal,62.41,65.31,2.9,75.09,65.31,0,0.0622,baixo,treino,328.0,27710.0,37037.86
3160801,São Bento Abade,MG,Sudeste,publica,58.23,61.84,3.61,76.67,61.84,0,0.0622,baixo,treino,,4835.0,19996.48
2205599,Lagoa do Sítio,PI,Nordeste,publica,12.7,18.93,6.23,62.96,18.93,0,0.0621,baixo,treino,,4575.0,11701.42
3529302,Matão,SP,Sudeste,estadual,79.65,66.95,-12.7,77.01,66.95,0,0.062,baixo,treino,439.0,80998.0,94407.02
3152402,Poté,MG,Sudeste,municipal,41.74,47.81,6.07,79.91,47.81,0,0.062,baixo,treino,68.0,13751.0,15545.49
3130200,Igaratinga,MG,Sudeste,publica,68.89,70.67,1.78,79.48,70.67,0,0.062,baixo,treino,,11252.0,73900.37
3201902,Domingos Martins,ES,Sudeste,estadual,82.47,80.0,-2.47,87.27,80.0,0,0.062,baixo,treino,64.0,37972.0,34103.39
3127305,Galiléia,MG,Sudeste,publica,47.26,52.6,5.34,62.07,52.6,0,0.0619,baixo,treino,,6281.0,20188.19
2404705,Ipanguaçu,RN,Nordeste,estadual,42.86,20.1,-22.76,30.0,20.1,0,0.0618,baixo,teste,20.0,14539.0,18146.02
3136306,João Pinheiro,MG,Sudeste,publica,66.98,63.39,-3.59,74.07,63.39,0,0.0617,baixo,treino,,48532.0,52804.99
1717800,Ponte Alta do Bom Jesus,TO,Norte,municipal,9.52,15.03,5.51,44.56,15.03,0,0.0617,baixo,teste,42.0,4295.0,19209.08
3146750,Palmópolis,MG,Sudeste,estadual,81.25,45.12,-36.13,75.0,45.12,0,0.0616,baixo,treino,12.0,6373.0,13021.81
3158102,Santa Maria do Salto,MG,Sudeste,publica,57.42,52.64,-4.78,52.89,52.64,0,0.0614,baixo,treino,,4803.0,12669.58
2515005,São Miguel de Taipu,PB,Nordeste,publica,10.07,15.73,5.66,100.0,15.73,0,0.0614,baixo,treino,,7287.0,16817.76
5200902,Amorinópolis,GO,Centro-Oeste,publica,70.75,72.21,1.46,80.65,72.21,0,0.0614,baixo,treino,,2952.0,44324.19
3152402,Poté,MG,Sudeste,publica,42.92,47.81,4.89,69.67,47.81,0,0.0611,baixo,treino,,13751.0,15545.49
3129202,Heliodora,MG,Sudeste,municipal,48.35,53.53,5.18,67.59,53.53,0,0.0611,baixo,teste,67.0,6274.0,25014.82
3161403,São Francisco do Glória,MG,Sudeste,municipal,59.41,62.82,3.41,78.59,62.82,0,0.061,baixo,treino,46.0,4866.0,18463.42
3201506,Colatina,ES,Sudeste,estadual,91.39,74.72,-16.67,90.45,74.72,0,0.0609,baixo,treino,62.0,128622.0,40101.58
3156809,Sabinópolis,MG,Sudeste,publica,51.31,46.78,-4.53,75.0,46.78,0,0.0609,baixo,treino,,14382.0,28858.16
3167004,Serranos,MG,Sudeste,publica,38.46,44.9,6.44,82.14,44.9,0,0.0608,baixo,teste,,2035.0,23744.47
3101805,Alpercata,MG,Sudeste,publica,46.13,51.63,5.5,70.83,51.63,0,0.0608,baixo,treino,,7029.0,16072.41
2310308,Parambu,CE,Nordeste,publica,83.15,80.0,-3.15,88.35,80.0,0,0.0606,baixo,treino,,32816.0,10649.93
1301902,Itacoatiara,AM,Norte,estadual,82.64,51.78,-30.86,75.75,51.78,0,0.0606,baixo,treino,251.0,112520.0,29523.07
3108404,Botelhos,MG,Sudeste,publica,71.52,67.86,-3.66,84.86,67.86,0,0.0606,baixo,treino,,15137.0,22872.89
3138609,Lima Duarte,MG,Sudeste,municipal,46.49,51.94,5.45,69.51,51.94,0,0.0606,baixo,treino,129.0,17712.0,24418.3
3162955,São José da Lapa,MG,Sudeste,publica,62.41,65.31,2.9,75.09,65.31,0,0.0605,baixo,teste,,27710.0,37037.86
2406908,Lucrécia,RN,Nordeste,publica,22.8,7.94,-14.86,42.86,7.94,0,0.0604,baixo,teste,,3579.0,17066.78
3137502,Lagoa Formosa,MG,Sudeste,publica,60.53,63.75,3.22,82.01,63.75,0,0.0603,baixo,teste,,19507.0,36585.99
3110103,Caiana,MG,Sudeste,municipal,58.54,62.1,3.56,76.5,62.1,0,0.0603,baixo,treino,30.0,5463.0,18993.96
3131703,Itabira,MG,Sudeste,municipal,57.17,60.96,3.79,68.15,60.96,0,0.0603,baixo,treino,810.0,117747.0,63137.07
3101904,Alpinópolis,MG,Sudeste,municipal,42.26,48.26,6.0,78.56,48.26,0,0.0602,baixo,treino,155.0,18672.0,33130.78
3147907,Passos,MG,Sudeste,publica,63.73,67.82,4.09,82.88,67.82,0,0.0601,baixo,treino,,116530.0,35013.35
3509502,Campinas,SP,Sudeste,estadual,58.44,47.76,-10.68,72.3,47.76,0,0.0601,baixo,teste,7063.0,1185977.0,77546.47
2612109,Salgadinho,PE,Nordeste,publica,93.42,80.0,-13.42,92.16,80.0,0,0.0601,baixo,treino,,5620.0,13633.27
3123403,Doresópolis,MG,Sudeste,municipal,38.46,44.9,6.44,66.67,44.9,0,0.0601,baixo,treino,21.0,1496.0,90058.16
3109105,Bueno Brandão,MG,Sudeste,publica,63.01,65.8,2.79,82.56,65.8,0,0.06,baixo,teste,,11161.0,23001.61
3506003,Bauru,SP,Sudeste,estadual,53.5,49.57,-3.93,67.9,49.57,0,0.06,baixo,treino,1531.0,391740.0,52725.68
3163102,São José da Varginha,MG,Sudeste,municipal,55.14,59.26,4.12,82.68,59.26,0,0.0598,baixo,teste,46.0,4677.0,29267.48
3146255,Padre Carvalho,MG,Sudeste,publica,56.89,52.45,-4.44,71.68,52.45,0,0.0598,baixo,treino,,5085.0,13460.77
3101607,Alfenas,MG,Sudeste,municipal,59.05,62.52,3.47,76.61,62.52,0,0.0597,baixo,treino,424.0,81950.0,44782.17
5221502,Turvânia,GO,Centro-Oeste,municipal,72.58,73.74,1.16,80.7,73.74,0,0.0597,baixo,teste,57.0,4478.0,80230.91
3128253,Guaraciama,MG,Sudeste,publica,42.0,48.04,6.04,80.7,48.04,0,0.0597,baixo,treino,,5203.0,16095.52
3112653,Capitão Andrade,MG,Sudeste,municipal,40.45,46.67,6.22,77.02,46.67,0,0.0596,baixo,treino,43.0,4650.0,15299.78
3169901,Ubá,MG,Sudeste,estadual,75.58,67.05,-8.53,75.69,67.05,0,0.0595,baixo,teste,64.0,107222.0,41616.57
3163508,São José do Jacuri,MG,Sudeste,publica,55.27,59.37,4.1,81.45,59.37,0,0.0593,baixo,treino,,6298.0,25014.45
3145604,Oliveira,MG,Sudeste,municipal,49.74,54.71,4.97,80.67,54.71,0,0.0593,baixo,teste,236.0,40552.0,36082.98
